"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","购物车——页面跳转","2","0","页面跳转","0"
"0","","0","结算完成页","1","0","页面跳转","0"
"0","","0","登录模块","2","0","用户登录","0"
"0","","0","购物车——端到端验证","2","0","商品端—购物车端","0"
"0","","0","商品模块","4","0","跳转到商品详情页","0"
"0","","0","购物车模块","2","0","页面跳转","0"
"0","","0","最终结算页","2","0","页面跳转","0"
"0","","0","购物车模块","1","0","购物车角标","0"
"0","","0","商品模块","1","0","把商品从购物车中移除","0"
"0","","0","购物车模块","2","0","移除商品","0"
"0","","0","商品详情页","0","1","页面跳转","0"
"0","","0","商品详情页","1","0","添加商品","0"
"0","","0","买家信息页","1","0","页面异常跳转","0"
"0","","0","商品模块","1","0","把多个商品从购物车中移除","0"
"0","","0","商品模块","4","0","商品排序","0"
"0","","0","商品详情页","1","0","移除商品","0"
"0","","0","全流程","1","0","全流程测试","0"
"0","","0","商品模块","2","0","添加商品到购物车","0"
"0","","0","买家信息页","2","0","页面跳转","0"
"0","","0","购物车——端到端验证","1","0","详情页端—购物车端","0"
