"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"点击任意商品图片，跳转到商品详情页","217","点击指定商品图片，跳转到该商品详情页","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"点击第一个商品的图片，跳转到该商品详情页","306","点击第一个商品图片跳转","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"异常场景：输入错误的用户名、密码，登录失败","513","验证错误的用户名、错误的密码登录失败","test_cases","2026-09-16","passed","2026-09-16","TestLogin","test_login","",""
"从商品详情页跳转到购物车页","206","从商品详情页，跳转到购物车页面","test_cases","2026-09-16","passed","2026-09-16","TestNavigateToCart","test_e2e","",""
"购物车页面，点击后进入结算页（第一步：填买家信息）","325","从购物车页面，进入结算页","test_cases","2026-09-16","passed","2026-09-16","TestCart","test_cart","",""
"全流程","10725","添加商品到完整结算的流程","test_cases","2026-09-16","passed","2026-09-16","TestPurchaseFlow","test_e2e","",""
"取消购买，返回到购物车页面","392","买家信息页返回购物车页面","test_cases","2026-09-16","passed","2026-09-16","TestCheckInfo","test_checkinfo","",""
"购物车页面，点击后返回商品页","258","从购物车页面，返回商品页","test_cases","2026-09-16","passed","2026-09-16","TestCart","test_cart","",""
"异常情况：不输入买家信息，直接点击continue。测试结算第一步，跳转到结算第二步。","367","异常情况进入最终结算页","test_cases","2026-09-16","passed","2026-09-16","TestCheckInfo","test_checkinfo","",""
"从商品列表添加多个商品","582","商品页添加多个商品，购物车页验证商品信息","test_cases","2026-09-16","passed","2026-09-16","TestAddToCartE2E","test_e2e","",""
"商品排序","249","商品排序","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"点击指定商品名，跳转到该商品详情页","207","点击指定商品名跳转","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"商品排序","296","商品排序","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"结算总览页，点击进入结算完成页","731","test_finish_to_complete","test_cases","2026-09-16","passed","2026-09-16","TestOverview","test_overview","",""
"添加单个商品到购物车中","131","添加单个商品到购物车","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"把多个商品从购物车中移除","10379","把多个商品从购物车中移除","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"结算完成页，点击返回商品页","781","完成页返回到商品页","test_cases","2026-09-16","passed","2026-09-16","TestComplete","test_complete","",""
"正常场景：输入正确的用户名和密码，成功登录","505","验证正确密码登录成功","test_cases","2026-09-16","passed","2026-09-16","TestLogin","test_login","",""
"结算总览页，返回到商品页","660","test_cancel_to_products","test_cases","2026-09-16","passed","2026-09-16","TestOverview","test_overview","",""
"详情页返回商品页","0","返回到商品页","test_cases","2026-09-16","skipped","2026-09-16","TestDetail","test_detail","",""
"详情页测试，把商品添加到详情页中","198","添加商品到购物车中","test_cases","2026-09-16","passed","2026-09-16","TestDetail","test_detail","",""
"从商品列表添加单个商品","276","商品页添加商品，购物车页验证商品信息","test_cases","2026-09-16","passed","2026-09-16","TestAddToCartE2E","test_e2e","",""
"把商品从购物车中移除","10177","把商品从购物车中移除","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"购物车页面，移除多个商品","543","移除多个商品","test_cases","2026-09-16","passed","2026-09-16","TestCart","test_cart","",""
"商品排序","242","商品排序","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"从商品页跳转到购物车页","144","从商品页跳转到购物车页面","test_cases","2026-09-16","passed","2026-09-16","TestNavigateToCart","test_e2e","",""
"正常情况：输入买家信息后，点击continue。测试结算第一步，跳转到结算第二步。","801","正常进入最终结算页","test_cases","2026-09-16","passed","2026-09-16","TestCheckInfo","test_checkinfo","",""
"验证购物车角标商品数量","266","验证购物车角标数量显示正确","test_cases","2026-09-16","passed","2026-09-16","TestCart","test_cart","",""
"从详情页添加商品","371","详情页添加商品，购物车页验证商品信息","test_cases","2026-09-16","passed","2026-09-16","TestAddToCartE2E","test_e2e","",""
"添加多个商品到购物车中","225","添加多个商品到购物车","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"点击第一个商品名，跳转到该商品详情页","315","点击列表中的第一个商品名跳转","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
"购物车页面，移除单个商品","20371","移除单个商品","test_cases","2026-09-16","passed","2026-09-16","TestCart","test_cart","",""
"详情页测试，详情页把商品移除购物车","10249","把商品从购物车中移除","test_cases","2026-09-16","passed","2026-09-16","TestDetail","test_detail","",""
"商品排序","244","商品排序","test_cases","2026-09-16","passed","2026-09-16","TestProducts","test_products","",""
